id,category,config,charges,masses,c,eta,side_or_sep,bounce_r,tmax,dt,retcode,n_steps,t_final,E_drift_pct,bound,max_r,min_r,brake_idx,brake_period,notes
63,2+1-,planet_R2.0_eta0.8,[+1+1-1],[1 1 1],4.0000,0.8000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,1.203385,true,2.000427,0.017228,0,NaN,
64,2+1-,planet_R0.5_eta0.9,[+1+1-1],[1 1 1],1.0000,0.9000,0.5000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.175303,false,0.500696,0.020995,0,NaN,
65,2+1-,planet_R0.5_eta0.9,[+1+1-1],[1 1 1],4.0000,0.9000,0.5000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,13.665200,true,0.748287,0.016438,0,NaN,
66,2+1-,planet_R1.0_eta0.9,[+1+1-1],[1 1 1],1.0000,0.9000,1.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.168102,false,1.000321,0.020864,0,NaN,
67,2+1-,planet_R1.0_eta0.9,[+1+1-1],[1 1 1],4.0000,0.9000,1.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,1.720110,true,1.008499,0.017228,0,NaN,
68,2+1-,planet_R2.0_eta0.9,[+1+1-1],[1 1 1],1.0000,0.9000,2.0000,0.0200,100.0,1.0e-04,Failure,12,0.0011,0.163220,false,2.000157,0.020855,0,NaN,
69,2+1-,planet_R2.0_eta0.9,[+1+1-1],[1 1 1],4.0000,0.9000,2.0000,0.0200,100.0,1.0e-04,Success,1000001,100.0000,0.869265,true,2.001088,0.017228,0,NaN,
70,1+2-,equi_rot_s1.0_eta0.1,[-1-1+1],[1 1 1],1.0000,0.1000,1.0000,0.0000,50.0,1.0e-03,Failure,371,0.3700,3.900924,false,1.000000,0.071322,0,NaN,
71,1+2-,equi_rot_s1.0_eta0.1,[-1-1+1],[1 1 1],4.0000,0.1000,1.0000,0.0000,50.0,1.0e-03,Success,50001,50.0000,0.139959,false,67.624204,0.102480,0,NaN,
72,1+2-,equi_rot_s2.0_eta0.1,[-1-1+1],[1 1 1],1.0000,0.1000,2.0000,0.0000,50.0,1.0e-03,Failure,1371,1.3700,47.407005,false,2.000000,0.049912,0,NaN,
